occupation_name,url,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
     Computer network support specialists,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,nan,nan,nan,nan,nan,nan,nan
     Dental hygienists,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,nan,nan,nan,nan,nan,nan,nan
     Cargo and freight agents,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#435011,nan,nan,nan,nan,nan,nan,nan
     Public safety telecommunicators,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,nan,nan,nan,nan,nan,nan,nan
"     Art, drama, and music teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Family medicine physicians,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,nan,nan,nan,nan,nan,nan,nan
     Sales engineers,https://www.bls.gov/ooh/sales/sales-engineers.htm,nan,nan,nan,nan,nan,nan,nan
     First-line supervisors of firefighting and prevention workers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#331021,nan,nan,nan,nan,nan,nan,nan
     Wind turbine service technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Psychiatric technicians,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Animal trainers,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,nan,nan,nan,nan,nan,nan,nan
"     Counselors, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#211019,nan,nan,nan,nan,nan,nan,nan
"     Gambling service workers, all other",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,nan,nan,nan,nan,nan,nan,nan
"     Maintenance workers, machinery",https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,nan,nan,nan,nan,nan,nan,nan
     Crossing guards and flaggers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339091,nan,nan,nan,nan,nan,nan,nan
     Audio and video technicians,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Psychiatrists,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,nan,nan,nan,nan,nan,nan,nan
"     Agents and business managers of artists, performers, and athletes",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131011,nan,nan,nan,nan,nan,nan,nan
     Museum technicians and conservators,https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,nan,nan,nan,nan,nan,nan,nan
     Medical appliance technicians,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Nurse midwives,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,nan,nan,nan,nan,nan,nan,nan
     Statisticians,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,nan,nan,nan,nan,nan,nan,nan
     Solar photovoltaic installers,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,nan,nan,nan,nan,nan,nan,nan
     Nurse practitioners,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,nan,nan,nan,nan,nan,nan,nan
     Radiation therapists,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,nan,nan,nan,nan,nan,nan,nan
     Concierges,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#396012,nan,nan,nan,nan,nan,nan,nan
     Economists,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,nan,nan,nan,nan,nan,nan,nan
